,SsAgent,Average,Oscillation
0,100,0.0,0.0
1,100,100.0,0.0
2,100,100.0,0.0
3,100,100.0,0.0
4,97,99.25,0.0
5,93,98.0,0.0
6,92,97.0,0.0
7,88,95.71428571428571,0.0
8,86,94.5,0.0
9,85,93.44444444444444,0.0
10,84,92.5,0.0
11,83,91.63636363636364,0.0
12,81,90.75,0.0
13,79,89.84615384615384,0.0
14,78,89.0,0.0
15,77,88.2,0.0
16,75,87.375,0.0
17,73,86.52941176470588,0.0
18,71,85.66666666666667,0.0
19,69,84.78947368421052,0.0
20,68,83.95,0.0
21,66,83.0952380952381,0.0
22,65,82.27272727272727,0.0
23,62,81.3913043478261,0.0
24,62,80.58333333333333,0.0
25,61,79.8,0.0
26,61,79.07692307692308,0.0
27,60,78.37037037037037,0.0
28,59,77.67857142857143,0.0
29,59,77.03448275862068,0.0
30,59,76.43333333333334,0.0
31,58,75.83870967741936,0.0
32,57,75.25,0.0
33,57,74.6969696969697,0.0
34,57,74.17647058823529,0.0
35,57,73.68571428571428,0.0
36,57,73.22222222222223,0.0
37,57,72.78378378378379,0.0
38,57,72.36842105263158,0.0
39,57,71.97435897435898,0.0
40,57,71.6,0.0
41,57,71.2439024390244,0.0
42,57,70.9047619047619,0.0
43,57,70.5813953488372,0.0
44,56,70.25,0.0
45,56,69.93333333333334,0.0
46,56,69.6304347826087,0.0
47,56,69.34042553191489,0.0
48,54,69.02083333333333,0.0
49,54,68.71428571428571,0.0
50,53,68.4,0.0
51,53,67.46,0.0
52,53,66.52,0.0
53,53,65.58,0.0
54,52,64.68,0.0
55,52,63.86,0.0
56,52,63.06,0.0
57,52,62.34,0.0
58,52,61.66,0.0
59,52,61.0,0.0
60,52,60.36,0.0
61,52,59.74,0.0
62,52,59.16,0.0
63,51,58.6,0.0
64,51,58.06,0.0
65,51,57.54,0.0
66,51,57.06,0.0
67,51,56.62,0.0
68,51,56.22,0.0
69,51,55.86,0.0
70,51,55.52,0.0
71,51,55.22,0.0
72,51,54.94,0.0
73,50,54.7,0.0
74,49,54.44,0.0
75,49,54.2,0.0
76,49,53.96,0.0
77,49,53.74,0.0
78,49,53.54,0.0
79,49,53.34,0.0
80,49,53.14,0.0
81,49,52.96,0.0
82,49,52.8,0.0
83,49,52.64,0.0
84,49,52.48,0.0
85,48,52.3,0.0
86,48,52.12,0.0
87,48,51.94,0.0
88,48,51.76,0.0
89,48,51.58,0.0
90,48,51.4,0.0
91,48,51.22,0.0
92,48,51.04,0.0
93,48,50.86,0.0
94,48,50.7,0.0
95,48,50.54,0.0
96,48,50.38,0.0
97,48,50.22,0.0
98,48,50.1,0.0
99,48,49.98,0.0
100,48,49.88,0.0
